issue_date,all,location,age_days,old,date_extract,veryold,State,id,key
"2022-06-14","H3228/22 NOTAMN\nQ) YMMM/QMXLC/IV/M/A/000/999/3740S14451E005\nA) YMML\nB) 2206141300 C) 2206141700\nE) TWY V BTN TWY G AND TWY J NOT AVBL DUE WIP\nTWY Y BTN TWY V AND TWY A NOT AVBL\nREF TO METHOD OF WORKING PLAN 2021-1 STAGE T68\nCREATED: 31 May 2022 01:11:00 \nSOURCE: YBBBZEZX","YMML",-13,0,"2022-06-01",0,"AUS","H3228/22","26387#H3228/22#YMML#2022-06-01"
"2022-02-16","N0368/22 NOTAMN\nQ) YBBB/QPICH/I/NBO/A/000/999/3248S15150E005\nA) YWLM\nB) 2202160426 C) PERM\nE) AIP DEP AND APCH (DAP) EAST YWLM AMD\nILS-Z OR LOC-Z RWY 12 AND ILS-Y OR LOC-Y RWY 12\nRDH 52FT\nCREATED: 16 Feb 2022 04:26:00 \nSOURCE: YBBBZEZX","YWLM",105,1,"2022-06-01",0,"AUS","N0368/22","14004#N0368/22#YWLM#2022-06-01"
"2022-05-26","N1310/22 NOTAMN\nQ) YBBB/QWYLW/IV/M/AW/000/050/2810S15330E005\nA) YBCG\nB) 2205262200 C) 2206040800\nD) DAILY 2200/0800\nE) OCULAR HAZARD ASSOCIATED WITH LIDAR LASER USE\nDURING AERIAL SURVEY OPS WI 30NM RADIUS OF CG VOR \nTHE HAZARD EXISTS WI: 1500FT BLW THE ACFT WHEN LASER ACTIVATED - LIVE\nRUN BROADCAST WILL BE MADE\nAIRCRAFT TYPE: PA34  CALLSIGN: VH-YSI\nLATERAL LIMITS: WITHIN 30NM OF POSITION CG  \nFOR MORE INFO CTC TEL: 07 4772 4997\nF) SFC G) 5000FT AMSL\nCREATED: 26 May 2022 07:51:00 \nSOURCE: YBBBZEZX","YBCG",6,0,"2022-06-01",0,"AUS","N1310/22","13887#N1310/22#YBCG#2022-06-01"
"2022-04-30","F1158/22 NOTAMN\nQ) YMMM/QWLLW/IV/M/W/000/999/3613S14806E005\nA) YMMM\nB) 2204302000 C) 2207290300 EST\nE) METEOROLOGICAL BALLOON RELEASE FM PSN\n361318S 1480630E (KHANCOBAN)\nAPRX BRG 090 MAG 10.9NM FM CORRYONG AD (YCRG)\nSINGLE BALLOONS WILL BE RELEASED AT 3 HOUR INTERVALS\nCTC OPR SNOWY HYDRO LIMITED TEL: 02 6453 2652\nF) SFC G) UNL\nCREATED: 26 Apr 2022 07:55:00 \nSOURCE: YBBBZEZX","YMMM",32,0,"2022-06-01",0,"AUS","F1158/22","34332#F1158/22#YMMM#2022-06-01"
"2022-06-02","J1865/22 NOTAMN\nQ) YBBB/QMTCM/IV/NBO/A/000/999/1915S14646E005\nA) YBTL\nB) 2206021200 C) 2206021600\nE) THR RWY 01 DISPLACED 834M\nMARKED EACH SIDE OF RWY BY 5 GREEN LIGHTS\nRWY 01/19 834M S END NOT AVBL DUE MAINT\nOBST MEN AND EQUIP 30FT AGL ACROSS RWY 1943M FM START OF TORA RWY 19\nFULL LENGTH AVBL TO ON SKED REGULAR PUBLIC TRANSPORT (RPT) ACFT\nACFT ABV 23000KG MAX TKOF WEIGHT (MTOW) OR MEDEVAC ACFT REQUIRING\nADDITIONAL LENGTH ON 60MIN PN TO THE WORKS SAFETY OFFICER \nTEL: 0418 771 999\nDECLARED DISTANCE AND GRADIENT CHANGES:\nRWY  TORA  TODA        ASDA  LDA\n01   1664  1724(2.24)  1764  1604\n19   1699  1759(5.0)   1699  1699\nSUPPLEMENTARY TKOF DISTANCES:\nRWY01- NOT AVBL\nRWY19- 1343(1.6) 1443(1.9) 1514(2.2) 1568(2.5)\nRWY 01 DISPLACED THR LOCATION DETERMINED BY 3.3 PERCENT OBST CLR\nGRADIENT\nRWY 01 TKOF TO COMMENCE AT RED LIGHTS\nRWY 01 PAPI NOT AVBL\nRWY 01 SIMPLE APCH LGT NOT AVBL\nRWY 01/19 DIST TO RUN MARKERS READ INCORRECTLY\nTWY A1, TWY B3, TWY L, TWY D2 AND TWY D3 NOT AVBL\nCREATED: 30 May 2022 05:02:00 \nSOURCE: YBBBZEZX","YBTL",-1,0,"2022-06-01",0,"AUS","J1865/22","26307#J1865/22#YBTL#2022-06-01"
"2022-05-30","J1870/22 NOTAMN\nQ) YBBB/QMXLT/IV/M/A/000/999/1653S14545E005\nA) YBCS\nB) 2205300725 C) 2206030600 EST\nE) TWY G2 AND TWY G BTN TWY G2 AND TWY G3 NOT AVBL DUE ACFT PRKG\nCREATED: 30 May 2022 07:25:00 \nSOURCE: YBBBZEZX","YBCS",2,0,"2022-06-01",0,"AUS","J1870/22","26362#J1870/22#YBCS#2022-06-01"
"2022-02-24","H1054/22 NOTAMR H0809/22\nQ) YMMM/QMDCH/IV/NBO/A/000/999/3457S13832E005\nA) YPAD\nB) 2202240147 C) PERM\nE) DECLARED DISTANCE AND GRAIDENT CHANGES\nRWY TODA   \n05  3204(2.64) \n23  3204(3.08)\nNOTE: AERIAL 16M FM CWY END AND 2.8FT ABV CWY END NOT INCLUDED IN\nCALCULATION OF TODA GRAD AND STODA.\n12  1832(2.60) \n30  1832(2.22)\nSUPPLEMENTARY TAKE OFF DISTANCES\nRWY05- 2836(1.6) 2989(1.9) 3099(2.2) 3177(2.5)  \nRWY23- 2873(1.6) 3049(1.9) 3105(2.2) 3147(2.5)  \nRWY12- 1270(1.6) 1603(1.9) 1732(2.2) 1812(2.5) \nRWY30- 1514(1.6) 1745(1.9) 1831(2.2)  \nAMD EN ROUTE SUPPLEMENT AUSTRALIA (ERSA\nCREATED: 24 Feb 2022 01:48:00 \nSOURCE: YBBBZEZX","YPAD",97,1,"2022-06-01",0,"AUS","H1054/22","26417#H1054/22#YPAD#2022-06-01"
"2022-05-03","H2690/22 NOTAMR H0580/22\nQ) YMMM/QOBCE/IV/M/AE/000/999/3740S14451E005\nA) YMML\nB) 2205032328 C) 2207270000 EST\nE) GROUP OF TREES AT FLW LOCATION:\n440FT AMSL BRG 018 MAG 0.88NM FM ARP INFRINGES TRANSITIONAL SFC BY UP\nTO 4.9FT\n438FT AMSL BRG 030 MAG 0.82NM FM ARP INFRINGES TAKEOFF SFC BY UP TO\n0.66FT\n436FT AMSL BRG 21 MAG 0.88NM FM ARP INFRINGES APPROACH SFC BY UP TO\n2.3FT\n460FT AMSL BRG 290 MAG 1.75NM FM ARP INFRINGES TRANSITIONAL SFC BY UP\nTO 1.37FT\n552FT AMSL BRG 327 MAG 1.99NM FM ARP INFRINGES INNER HORIZONTAL SFC\nBY UP TO 34.5FT\n562FT AMSL BRG 325 MAG 1.81NM FM ARP INFRINGES INNER HORIZONTAL SFC\nBY UP TO 44.6FT\n371FT AMSL BRG 177  MAG 1.1NM FM ARP INFRINGES APPROACH SFC BY UP TO\n5.56FT\nCREATED: 03 May 2022 23:28:00 \nSOURCE: YBBBZEZX","YMML",29,0,"2022-06-01",0,"AUS","H2690/22","26401#H2690/22#YMML#2022-06-01"
"2022-06-23","D1932/22 NOTAMN\nQ) YBBB/QRRCA/IV/BO/W/195/320/1254S13152E046\nA) YBBB\nB) 2206230330 C) 2207300230\nE) R224B MT BUNDEY R224B ACT (RA2) DUE MIL FLYING AND NON-FLYING\nF) FL195 G) FL320\nCREATED: 19 May 2022 08:32:00 \nSOURCE: YBBBZEZX","YBBB",-22,0,"2022-06-01",0,"AUS","D1932/22","29895#D1932/22#YBBB#2022-06-01"
"2022-05-02","J1518/22 NOTAMR J1191/22\nQ) YBBB/QFAHX/IV/NBO/A/000/999/3248S15150E005\nA) YWLM\nB) 2205022227 C) 2207021200 EST\nD) DAILY 2000/1200\nE) INCREASED BIRD HAZARD IN VCY OF RWY 12/30\nCREATED: 02 May 2022 22:27:00 \nSOURCE: YBBBZEZX","YWLM",30,0,"2022-06-01",0,"AUS","J1518/22","13991#J1518/22#YWLM#2022-06-01"
